no_of_rainy_days,year,month,total_rainfall,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,mean_sunshine_hrs,monthly_mean_of_min_daily_temperature_celcius
12,1989,6,117.6,83.3,45.9,25.19611111111111,6.0,27.5
12,1989,7,157.6,82.6,33.3,25.386559139784943,6.0,27.7
18,1989,8,201.0,83.7,81.4,24.966397849462364,5.3,27.1
14,1989,9,247.3,84.4,102.2,24.846249999999998,5.5,26.9
16,1989,10,111.0,83.7,24.9,24.87983870967742,5.5,27.1
20,1989,11,508.4,86.0,148.6,24.7975,5.4,26.7
18,1989,12,179.7,85.5,44.2,24.37889784946237,4.8,26.3
13,1990,1,147.4,83.8,73.9,24.04731182795699,5.3,26.2
8,1990,2,24.1,80.9,6.6,24.96175595238095,8.9,27.6
4,1990,3,94.2,77.6,48.6,25.07956989247312,8.3,28.2
10,1990,4,52.4,81.2,12.0,25.885972222222225,6.3,28.5
11,1990,5,180.1,81.1,153.7,25.933064516129033,6.5,28.6
9,1990,6,112.6,80.7,76.1,25.693888888888885,6.3,28.3
12,1990,7,124.0,82.7,44.5,25.131048387096776,5.9,27.5
13,1990,8,146.6,82.3,38.3,25.5747311827957,5.8,28.0
17,1990,9,204.5,83.2,44.5,24.9775,5.1,27.2
12,1990,10,56.4,83.5,20.2,25.24516129032258,5.9,27.5
17,1990,11,180.4,83.5,46.9,24.983611111111113,4.6,27.2
16,1990,12,201.1,86.0,33.5,24.47231182795699,5.5,26.3
13,1991,1,123.9,84.1,36.2,24.58454301075269,5.6,26.7
7,1991,2,45.5,81.6,17.9,24.620386904761908,7.0,27.1
10,1991,3,92.4,79.9,48.6,25.046370967741936,7.1,27.8
13,1991,4,134.2,84.3,32.2,25.61513888888889,5.8,27.7
23,1991,5,256.4,86.6,44.0,25.91021505376344,5.1,27.7
9,1991,6,88.7,81.0,55.6,25.97041666666667,7.1,28.6
8,1991,7,37.3,78.7,10.7,25.533736559139783,6.7,28.5
8,1991,8,226.2,79.8,129.9,25.4,5.3,28.2
12,1991,9,123.1,83.0,53.6,25.269305555555558,4.1,27.5
5,1991,10,52.0,81.4,20.4,24.985483870967744,4.2,27.5
19,1991,11,205.0,86.5,75.2,24.49291666666667,3.5,26.3
19,1991,12,492.3,90.7,79.4,24.43938172043011,3.0,25.6
9,1992,1,83.9,82.4,56.2,24.29274193548387,6.6,26.6
4,1992,2,62.4,80.5,43.2,24.784913793103446,7.7,27.5
6,1992,3,67.6,80.6,35.1,25.50577956989247,7.4,28.2
13,1992,4,160.3,82.4,94.7,25.965,6.4,28.4
13,1992,5,63.1,83.3,13.7,25.8505376344086,5.7,28.1
14,1992,6,162.8,82.7,38.4,25.671666666666663,5.5,28.0
19,1992,7,290.8,83.8,97.3,25.1630376344086,4.7,27.3
11,1992,8,76.1,81.1,31.0,25.18978494623656,5.7,27.8
13,1992,9,83.6,82.9,17.5,25.035694444444445,5.0,27.3
20,1992,10,233.2,82.0,45.5,24.988306451612903,4.5,27.4
18,1992,11,474.3,87.7,120.6,24.479999999999997,3.7,26.1
23,1992,12,502.7,90.3,105.7,24.283467741935485,3.4,25.5
11,1993,1,176.4,85.7,37.2,24.335752688172043,5.5,26.2
8,1993,2,69.2,80.5,27.0,24.083035714285714,8.5,26.7
14,1993,3,250.5,86.3,56.9,24.861021505376343,5.4,26.7
20,1993,4,283.9,84.5,56.7,25.485416666666666,6.4,27.6
10,1993,5,129.9,82.9,37.2,25.850403225806453,6.0,28.2
17,1993,6,115.5,80.9,29.4,25.831666666666667,6.2,28.5
15,1993,7,240.0,83.2,46.4,25.60470430107527,5.2,27.9
11,1993,8,106.8,79.4,53.5,25.729032258064517,7.4,28.6
7,1993,9,61.7,81.4,42.0,25.335,5.9,27.9
13,1993,10,175.5,84.3,62.7,25.36599462365591,5.2,27.5
18,1993,11,250.8,87.4,61.3,25.185555555555553,4.7,26.9
19,1993,12,308.5,87.4,67.6,24.86532258064516,4.2,26.5
7,1994,1,56.9,82.1,17.5,24.526344086021503,6.1,26.9
15,1994,2,133.5,84.5,26.3,24.952976190476193,6.4,27.0
19,1994,3,288.2,87.1,64.2,25.100403225806453,3.5,26.8
15,1994,4,154.0,84.8,46.3,25.803333333333335,5.8,27.9
16,1994,5,169.6,84.8,45.1,26.023655913978494,5.0,28.1
14,1994,6,184.7,83.5,61.1,25.833194444444448,6.0,28.1
6,1994,7,53.8,78.9,17.0,25.547580645161293,7.6,28.4
12,1994,8,45.1,80.0,15.5,25.402419354838713,6.5,28.1
6,1994,9,23.7,78.7,11.3,25.410833333333333,3.8,28.3
11,1994,10,84.7,81.5,35.4,25.294758064516127,4.5,27.9
21,1994,11,322.2,88.4,178.3,25.15263888888889,4.5,26.7
18,1994,12,425.4,85.5,133.8,24.94327956989247,5.3,26.9
21,1995,1,349.4,86.2,108.3,24.95779569892473,5.0,26.8
16,1995,2,334.0,87.5,159.3,24.79925595238095,4.9,26.5
10,1995,3,67.7,83.9,31.1,25.396102150537637,5.9,27.6
16,1995,4,242.3,85.3,73.6,25.946805555555557,5.6,27.9
11,1995,5,84.4,83.7,32.8,26.279301075268815,6.0,28.5
12,1995,6,63.7,81.9,45.0,26.335694444444446,6.6,28.9
13,1995,7,173.6,82.6,52.3,25.65215053763441,5.2,28.0
21,1995,8,211.6,85.6,37.9,25.47271505376344,4.1,27.4
7,1995,9,29.5,81.6,5.7,25.764305555555556,5.8,28.3
12,1995,10,101.1,82.8,37.1,25.463575268817205,4.7,27.8
20,1995,11,372.8,86.8,198.6,25.218611111111112,3.7,27.0
20,1995,12,302.5,86.6,55.6,24.549059139784948,3.1,26.3
10,1996,1,173.2,84.2,39.0,24.08521505376344,5.2,26.2
11,1996,2,180.2,84.6,53.0,24.44942528735632,5.8,26.5
8,1996,3,129.7,81.0,61.8,25.12889784946237,7.7,27.8
15,1996,4,178.2,85.5,55.7,25.83888888888889,5.4,27.8
15,1996,5,107.5,83.7,18.6,26.278494623655916,7.0,28.5
15,1996,6,265.8,84.3,94.3,26.14916666666667,5.9,28.3
10,1996,7,162.3,81.9,55.3,25.853763440860217,6.7,28.3
18,1996,8,258.4,83.4,64.6,25.179032258064517,5.0,27.4
18,1996,9,297.0,82.2,66.5,25.317222222222224,4.8,27.7
19,1996,10,300.0,83.0,45.8,25.179973118279573,4.3,27.5
16,1996,11,180.2,83.5,60.5,25.067777777777778,4.4,27.3
15,1996,12,185.5,82.9,72.4,24.34032258064516,4.5,26.6
3,1997,1,15.4,77.3,13.9,23.996774193548386,7.7,27.1
8,1997,2,105.4,80.8,35.7,24.758482142857144,4.9,27.4
10,1997,3,34.3,79.6,17.4,25.227688172043013,7.0,28.1
12,1997,4,118.4,82.7,44.6,25.68263888888889,5.6,28.1
6,1997,5,41.6,77.7,35.6,26.157526881720432,6.7,29.3
12,1997,6,78.9,76.7,25.0,25.96847222222222,7.3,29.3
9,1997,7,18.6,76.5,5.4,25.524327956989247,6.5,28.8
9,1997,8,86.6,78.2,61.4,25.7252688172043,5.7,28.8
3,1997,9,31.1,77.0,24.3,25.580277777777777,3.2,28.8
8,1997,10,78.4,81.0,36.5,25.561693548387098,3.2,28.2
13,1997,11,158.3,82.8,53.6,25.43972222222222,5.4,27.8
23,1997,12,351.9,85.3,65.8,25.358467741935485,5.3,27.3
13,1998,1,268.8,83.2,79.7,25.736424731182797,7.4,28.0
5,1998,2,32.5,78.3,11.9,25.87827380952381,8.9,28.9
7,1998,3,58.8,77.8,20.9,26.263440860215052,7.6,29.5
13,1998,4,187.7,81.8,64.9,26.697222222222223,6.7,29.2
18,1998,5,370.8,82.3,83.7,26.913978494623656,5.9,29.4
15,1998,6,198.8,82.1,42.8,26.106944444444444,5.3,28.6
18,1998,7,259.2,81.8,55.8,25.640860215053763,5.1,28.1
18,1998,8,195.0,85.4,35.5,25.504435483870967,4.6,27.5
17,1998,9,258.2,84.1,52.0,25.755277777777778,4.5,27.9
20,1998,10,222.7,82.3,32.4,25.591397849462364,5.0,28.0
11,1998,11,107.2,81.9,57.5,25.448749999999997,4.6,27.9
22,1998,12,463.4,88.5,84.4,25.08508064516129,3.1,26.6
19,1999,1,193.9,88.3,52.5,25.05483870967742,3.9,26.6
9,1999,2,67.4,82.4,32.1,24.86636904761905,6.7,27.2
16,1999,3,181.4,87.5,52.4,25.45228494623656,4.3,27.1
14,1999,4,88.5,82.6,29.2,25.886805555555554,5.8,28.3
13,1999,5,157.1,84.4,42.8,25.910618279569892,5.7,28.0
13,1999,6,103.4,81.9,34.5,25.735972222222223,6.0,28.2
11,1999,7,225.4,82.7,51.4,25.40255376344086,6.8,27.8
13,1999,8,204.0,84.1,42.4,25.37244623655914,5.7,27.5
13,1999,9,125.9,81.7,41.5,25.40402777777778,6.5,27.9
20,1999,10,205.0,84.6,32.8,25.106182795698924,4.7,27.2
19,1999,11,241.5,84.4,39.0,25.14402777777778,4.7,27.3
17,1999,12,340.5,85.3,76.9,24.823924731182796,4.1,26.8
14,2000,1,275.2,86.9,127.6,24.6377688172043,4.0,26.3
18,2000,2,237.8,86.5,39.9,24.785344827586204,5.8,26.6
15,2000,3,238.3,85.8,37.9,25.315188172043012,5.8,27.2
20,2000,4,311.6,85.6,87.4,25.554305555555555,5.3,27.5
10,2000,5,96.8,82.4,36.7,26.170698924731184,6.8,28.6
16,2000,6,157.5,84.3,41.7,25.51236111111111,4.6,27.6
12,2000,7,116.1,82.6,34.6,25.746370967741935,6.5,28.1
18,2000,8,113.5,83.8,28.1,25.354569892473116,5.1,27.5
12,2000,9,81.1,82.2,25.7,25.6075,6.2,28.0
14,2000,10,120.9,82.1,38.3,25.331989247311828,4.0,27.8
21,2000,11,385.7,87.1,72.0,25.583194444444448,3.7,27.3
18,2000,12,236.0,87.6,45.8,25.335887096774197,4.2,27.0
21,2001,1,425.8,87.4,125.4,24.856854838709676,4.4,26.5
11,2001,2,86.6,83.6,28.2,24.788095238095234,4.8,27.0
20,2001,3,297.3,84.5,41.1,25.350806451612904,5.4,27.5
18,2001,4,203.3,86.0,68.9,25.86472222222222,5.3,27.7
12,2001,5,164.9,85.0,56.1,26.47056451612903,6.0,28.5
11,2001,6,137.1,82.5,49.6,25.77097222222222,4.9,28.2
9,2001,7,111.3,80.8,44.8,25.7880376344086,8.1,28.4
14,2001,8,158.3,83.7,36.6,25.804973118279573,4.9,28.0
13,2001,9,162.0,82.3,74.3,25.575833333333332,6.2,28.0
20,2001,10,252.2,83.7,77.2,25.423387096774192,4.4,27.6
15,2001,11,175.3,84.9,102.6,25.157083333333333,3.7,27.2
20,2001,12,609.0,86.8,211.1,24.94233870967742,4.5,26.7
11,2002,1,221.2,83.6,83.8,24.83279569892473,6.9,27.0
2,2002,2,50.8,80.9,41.7,24.705357142857142,7.4,27.3
8,2002,3,55.6,80.8,26.4,25.528494623655916,7.6,28.2
13,2002,4,116.5,82.3,39.4,26.13722222222222,6.6,28.6
13,2002,5,236.6,82.3,75.9,26.417473118279567,6.2,28.9
12,2002,6,83.1,82.1,45.8,26.222638888888888,6.3,28.7
11,2002,7,233.7,82.7,69.5,26.05510752688172,6.8,28.4
14,2002,8,54.2,79.2,17.8,25.624193548387098,6.7,28.5
9,2002,9,124.2,81.7,38.9,25.545555555555556,5.5,28.1
7,2002,10,10.8,79.8,3.2,25.838306451612905,6.2,28.7
15,2002,11,307.2,85.8,84.0,25.49833333333333,4.6,27.4
24,2002,12,255.0,88.7,38.6,25.680779569892472,4.8,27.2
20,2003,1,444.2,86.9,194.4,24.92970430107527,4.7,26.7
13,2003,2,172.9,85.0,82.2,25.087648809523813,5.8,27.1
11,2003,3,154.6,83.8,38.3,25.84704301075269,6.9,28.1
20,2003,4,159.9,86.7,42.9,26.094305555555557,5.1,27.9
11,2003,5,81.8,81.7,33.0,26.612903225806452,5.8,29.2
12,2003,6,50.3,78.5,23.2,25.94916666666667,7.0,28.9
14,2003,7,170.4,81.7,30.9,25.634543010752687,5.6,28.1
13,2003,8,193.6,83.1,64.4,25.924865591397847,6.1,28.2
15,2003,9,205.3,84.8,60.0,25.566666666666666,5.0,27.6
21,2003,10,351.4,84.9,56.6,25.548521505376343,5.1,27.6
19,2003,11,133.8,87.3,41.3,25.443055555555556,4.2,27.1
17,2003,12,273.0,87.2,92.1,24.87150537634409,3.9,26.5
13,2004,1,600.9,86.7,177.8,25.08225806451613,6.7,26.9
4,2004,2,31.9,80.5,19.2,24.958189655172415,7.7,27.6
16,2004,3,269.4,85.8,122.8,25.739919354838708,4.8,27.7
9,2004,4,57.1,82.3,18.1,26.369027777777777,7.0,28.9
13,2004,5,137.6,82.1,73.4,26.447580645161292,6.0,28.9
8,2004,6,127.2,79.8,68.1,26.183611111111112,6.3,29.0
20,2004,7,166.6,85.3,34.3,25.38817204301075,4.2,27.3
8,2004,8,185.2,80.3,111.5,25.537365591397847,7.3,28.3
14,2004,9,128.9,83.6,29.1,25.570277777777775,5.9,27.8
13,2004,10,125.6,83.9,25.3,25.57338709677419,5.0,27.8
15,2004,11,166.2,86.1,62.4,25.41375,5.8,27.3
14,2004,12,139.8,85.2,36.4,24.87244623655914,4.9,26.8
8,2005,1,163.2,83.3,96.7,24.395967741935483,6.5,26.6
3,2005,2,8.4,77.7,7.2,25.330357142857142,9.1,28.5
12,2005,3,82.4,80.3,20.5,25.70577956989247,7.2,28.5
10,2005,4,81.7,81.0,49.6,26.036805555555556,7.0,28.7
20,2005,5,331.1,84.6,58.7,26.366532258064517,5.5,28.5
15,2005,6,82.3,82.7,27.6,26.405694444444443,5.4,28.8
15,2005,7,104.0,84.0,26.3,25.849865591397847,5.4,28.0
13,2005,8,58.5,82.9,13.8,25.900134408602153,6.5,28.2
18,2005,9,175.7,84.2,43.4,25.996111111111112,6.2,28.2
19,2005,10,314.5,85.2,76.2,25.58185483870968,5.1,27.6
23,2005,11,362.9,86.4,133.8,25.43236111111111,4.4,27.3
19,2005,12,166.0,85.6,47.3,25.326478494623657,4.5,27.3
20,2006,1,454.4,87.8,131.7,24.865591397849464,4.8,26.5
8,2006,2,115.5,84.0,44.5,25.37842261904762,7.4,27.5
9,2006,3,83.1,81.3,35.7,25.692204301075268,7.1,28.3
18,2006,4,239.8,87.0,43.3,25.854444444444447,5.3,27.6
14,2006,5,205.7,85.2,36.6,26.103629032258063,5.0,28.1
16,2006,6,236.8,86.3,37.3,25.99152777777778,5.5,27.8
15,2006,7,153.8,83.8,54.8,26.21155913978495,6.9,28.4
14,2006,8,127.3,81.9,30.4,25.854569892473116,6.7,28.3
12,2006,9,83.3,81.0,32.2,25.40486111111111,5.3,28.0
8,2006,10,102.0,80.9,37.8,25.69327956989247,4.8,28.3
18,2006,11,185.6,87.4,64.0,25.550416666666667,5.6,27.3
22,2006,12,765.9,88.5,198.0,25.12217741935484,3.2,26.6
20,2007,1,450.1,86.8,143.8,24.72083333333333,4.1,26.5
3,2007,2,105.5,82.5,51.4,24.870535714285715,7.6,27.3
21,2007,3,269.1,84.9,68.8,25.42043010752688,5.8,27.5
14,2007,4,240.2,84.7,102.4,26.00986111111111,5.9,28.1
16,2007,5,127.2,84.8,21.9,26.221236559139783,5.5,28.3
12,2007,6,139.0,82.8,38.0,26.059583333333336,6.0,28.4
19,2007,7,141.7,84.8,23.0,25.697580645161292,3.8,27.7
20,2007,8,190.7,82.9,55.9,25.4252688172043,5.7,27.7
13,2007,9,149.0,83.3,52.1,25.593194444444443,5.8,27.8
16,2007,10,237.2,83.2,51.8,25.488575268817204,5.6,27.8
21,2007,11,367.9,86.5,60.1,25.105833333333333,3.5,26.9
20,2007,12,468.6,86.8,159.0,24.704301075268816,4.5,26.4
19,2008,1,262.6,86.0,123.1,24.903360215053763,6.1,26.8
8,2008,2,129.2,82.9,48.5,24.427298850574715,5.5,26.7
16,2008,3,294.1,87.1,48.1,24.830510752688173,4.3,26.5
13,2008,4,87.2,82.0,34.2,25.641805555555553,6.0,28.1
11,2008,5,124.9,79.1,42.3,25.849596774193547,6.6,28.8
12,2008,6,118.3,81.5,45.2,25.66333333333333,5.6,28.2
15,2008,7,89.1,81.3,23.5,25.311155913978496,4.9,27.8
18,2008,8,327.3,83.8,133.9,25.284408602150535,5.5,27.4
18,2008,9,164.4,82.7,43.5,25.344722222222224,5.1,27.7
19,2008,10,159.5,84.9,41.6,25.546505376344083,4.5,27.6
16,2008,11,324.3,85.9,63.3,25.379583333333333,4.0,27.3
17,2008,12,244.2,83.7,52.0,24.690591397849463,4.8,26.9
5,2009,1,38.3,79.1,36.0,23.982795698924733,6.6,26.8
8,2009,2,201.8,80.7,74.2,24.64627976190476,6.4,27.3
19,2009,3,223.3,85.4,56.3,25.2,5.5,27.2
12,2009,4,183.7,82.2,86.6,26.000694444444445,6.2,28.5
17,2009,5,198.6,83.0,41.3,26.366666666666667,6.6,28.7
8,2009,6,21.8,79.8,5.8,26.281666666666666,7.0,29.1
16,2009,7,161.0,80.8,24.4,25.6002688172043,6.2,28.3
12,2009,8,177.8,80.7,35.5,25.64354838709677,6.5,28.3
13,2009,9,109.6,82.0,63.0,25.86611111111111,5.6,28.3
15,2009,10,133.4,82.8,38.4,25.861424731182797,5.4,28.2
23,2009,11,281.8,85.6,61.4,25.274583333333336,4.7,27.2
18,2009,12,189.8,86.3,42.6,25.261693548387097,4.7,27.1
10,2010,1,69.5,82.1,24.5,25.016397849462365,7.1,27.5
4,2010,2,6.3,77.3,2.9,25.641964285714288,8.8,28.9
11,2010,3,238.0,79.9,57.6,25.731989247311827,6.1,28.6
18,2010,4,158.5,84.1,40.0,26.349444444444444,6.2,28.6
17,2010,5,157.5,82.2,90.5,26.713575268817205,6.5,29.2
19,2010,6,240.5,83.9,43.0,26.11875,5.1,28.3
18,2010,7,298.5,84.8,121.1,25.6497311827957,4.6,27.7
16,2010,8,158.4,84.2,60.2,25.741263440860216,5.4,27.9
13,2010,9,121.5,82.5,28.0,25.610833333333332,5.7,28.0
17,2010,10,166.2,82.3,58.1,25.80282258064516,4.2,28.3
21,2010,11,278.8,85.9,41.6,25.448611111111113,5.0,27.4
14,2010,12,181.4,85.3,85.8,24.836290322580645,3.6,26.8
17,2011,1,513.2,85.8,216.2,24.433467741935484,4.5,26.3
8,2011,2,23.0,81.1,17.4,24.69151785714286,7.5,27.3
22,2011,3,256.6,85.5,54.0,25.072311827956987,4.6,27.1
12,2011,4,217.8,83.9,61.8,25.689999999999998,7.2,27.9
15,2011,5,127.0,85.3,34.2,26.479166666666668,5.9,28.5
15,2011,6,213.0,83.7,82.0,26.13875,5.0,28.4
7,2011,7,76.6,81.3,30.0,26.110483870967744,7.8,28.7
13,2011,8,81.4,82.6,30.2,25.56048387096774,6.1,27.9
14,2011,9,136.4,82.7,40.4,25.50986111111111,5.1,27.8
20,2011,10,216.8,87.4,54.0,25.508198924731182,5.3,27.3
24,2011,11,377.8,87.8,78.6,25.45347222222222,4.6,27.1
21,2011,12,284.6,88.4,87.4,25.062634408602147,3.3,26.6
16,2012,1,106.1,87.3,26.2,25.007930107526885,6.0,26.7
