no_of_rainy_days,year,month,total_rainfall,mean_rh,maximum_rainfall_in_a_day,wet_bulb_temperature,mean_sunshine_hrs,monthly_mean_of_min_daily_temperature_celcius
10,2014,10,120.0,77.0,32.8,25.170295698924733,6.0,28.4
23,2014,11,250.8,82.4,64.4,25.094722222222224,5.4,27.5
17,2014,12,245.6,82.6,48.2,24.71545698924731,3.7,27.0
6,2015,1,79.6,77.6,33.6,23.8377688172043,7.4,26.9
6,2015,2,18.8,75.4,10.8,23.633035714285715,7.3,27.0
5,2015,3,84.4,75.8,46.0,24.765860215053763,7.3,28.2
13,2015,4,73.2,77.1,18.8,25.373055555555553,7.2,28.6
12,2015,5,89.0,78.9,22.2,25.795564516129033,5.8,28.7
10,2015,6,95.8,75.8,28.4,25.58625,6.7,29.0
13,2015,7,116.8,74.9,45.8,25.54422043010753,7.1,29.1
11,2015,8,185.8,76.7,63.2,25.17755376344086,6.1,28.4
8,2015,9,61.6,75.0,18.4,25.183611111111112,4.3,28.7
9,2015,10,87.2,75.4,28.6,25.2127688172043,4.7,28.7
13,2015,11,72.6,79.1,25.8,25.090416666666666,4.8,28.0
19,2015,12,302.3,81.1,40.4,25.13037634408602,5.3,27.7
15,2016,1,126.6,79.6,39.6,25.472580645161287,7.2,28.3
10,2016,2,186.0,78.8,71.8,24.938505747126438,6.5,27.8
6,2016,3,6.2,74.7,2.4,25.40456989247312,8.0,29.0
14,2016,4,89.8,75.6,18.2,25.945277777777775,7.0,29.4
12,2016,5,193.8,77.4,54.8,26.075806451612905,6.2,29.3
13,2016,6,162.8,77.7,67.8,25.419166666666666,5.4,28.5
20,2016,7,168.6,77.3,59.4,25.259543010752687,6.3,28.4
15,2016,8,139.2,74.0,30.6,25.236155913978497,6.7,28.9
15,2016,9,118.9,73.9,34.0,24.610138888888887,5.5,28.3
16,2016,10,181.0,72.0,75.4,24.35282258064516,4.6,28.3
20,2016,11,290.2,77.6,65.6,24.353194444444444,3.5,27.4
23,2016,12,292.6,72.8,73.0,23.570833333333333,5.1,27.4
21,2017,1,197.6,84.8,60.6,24.893010752688173,4.8,26.9
15,2017,2,158.4,83.2,31.0,24.679464285714282,7.1,26.9
11,2017,3,136.2,82.5,30.2,24.988440860215057,6.1,27.4
21,2017,4,208.6,83.5,42.8,25.54638888888889,5.3,27.8
15,2017,5,190.0,82.8,44.8,26.114650537634407,5.9,28.5
10,2017,6,106.0,80.2,29.6,25.75847222222222,6.3,28.5
9,2017,7,79.6,79.6,30.2,25.50577956989247,7.0,28.3
18,2017,8,84.2,79.9,29.4,25.39059139784946,6.1,28.1
19,2017,9,124.4,81.0,20.2,25.380555555555556,5.7,28.0
18,2017,10,120.8,82.5,31.2,25.47970430107527,5.5,27.9
24,2017,11,268.6,86.3,45.2,25.229999999999997,4.2,27.1
23,2017,12,371.2,85.2,69.8,25.010080645161292,5.6,27.0
25,2018,1,287.0,86.6,45.8,24.34543010752688,4.1,26.1
5,2018,2,14.8,77.2,13.0,24.058630952380952,8.0,27.2
10,2018,3,44.6,78.4,15.2,24.96532258064516,6.4,28.0
14,2018,4,61.2,78.5,14.0,25.470000000000002,6.8,28.5
19,2018,5,132.2,79.0,47.4,25.72244623655914,5.8,28.7
17,2018,6,182.6,79.3,46.8,25.57097222222222,4.1,28.4
10,2018,7,143.2,77.7,32.4,25.403091397849465,6.1,28.5
11,2018,8,121.6,77.0,34.6,25.324596774193548,6.7,28.5
13,2018,9,144.4,77.1,45.0,24.81625,6.0,28.0
18,2018,10,234.4,79.7,60.6,25.083870967741937,6.1,27.9
27,2018,11,169.6,83.2,20.6,25.04638888888889,3.8,27.3
19,2018,12,172.6,81.5,43.8,25.06532258064516,5.1,27.6
9,2019,1,63.6,75.6,38.2,24.605376344086025,7.1,28.0
5,2019,2,31.6,74.1,13.4,24.58169642857143,9.2,28.2
6,2019,3,72.2,72.3,29.0,24.7375,8.3,28.7
9,2019,4,174.8,77.6,52.4,25.502777777777776,5.9,28.6
13,2019,5,69.0,79.2,17.2,26.34193548387097,7.0,29.3
16,2019,6,173.8,79.5,37.6,25.61277777777778,5.3,28.4
8,2019,7,12.2,75.2,6.6,25.546505376344083,7.5,29.0
6,2019,8,11.8,72.1,3.8,25.14758064516129,7.6,29.1
4,2019,9,22.8,73.0,16.4,25.17666666666667,6.7,29.0
15,2019,10,176.8,78.1,92.2,25.08306451612903,6.5,28.1
15,2019,11,137.4,79.2,73.4,25.128194444444443,5.5,28.0
14,2019,12,421.5,83.9,74.2,24.581317204301076,4.8,26.7
6,2020,1,88.4,77.9,38.0,24.690725806451614,7.1,27.7
8,2020,2,65.0,76.0,23.8,24.543390804597703,8.3,27.9
8,2020,3,108.8,75.2,47.4,25.122580645161293,7.6,28.6
12,2020,4,188.0,76.4,51.8,25.509722222222223,7.1,28.9
16,2020,5,255.6,79.1,53.8,26.02405913978495,5.7,28.9
21,2020,6,233.8,80.2,41.0,25.440416666666664,4.3,28.1
22,2020,7,140.8,78.2,30.4,25.021639784946235,5.7,27.9
12,2020,8,103.4,76.8,34.6,25.113844086021505,6.4,28.3
18,2020,9,150.2,79.0,32.8,24.719305555555557,4.8,27.5
16,2020,10,78.8,75.4,19.0,24.916263440860217,4.3,28.3
19,2020,11,220.6,81.7,64.2,24.803055555555556,4.0,27.2
20,2020,12,253.2,81.1,58.2,24.651612903225807,5.2,27.2
17,2021,1,692.8,82.6,210.6,23.73333333333333,4.2,26.0
2,2021,2,1.0,73.8,0.6,23.745386904761904,8.2,27.3
14,2021,3,182.4,76.6,38.0,24.68938172043011,7.3,27.9
14,2021,4,290.4,77.4,83.8,25.122500000000002,6.8,28.2
13,2021,5,245.8,79.3,49.8,25.861424731182797,6.0,28.7
20,2021,6,93.4,77.8,23.8,25.489305555555553,6.5,28.5
12,2021,7,195.8,76.5,75.0,25.36922043010753,6.8,28.6
24,2021,8,293.6,80.4,71.4,24.96317204301075,4.8,27.6
14,2021,9,205.4,77.3,63.4,25.195833333333333,6.4,28.3
14,2021,10,177.0,78.3,59.6,25.493682795698923,6.2,28.5
23,2021,11,312.4,81.7,47.8,25.111944444444443,4.9,27.6
15,2021,12,119.6,79.7,46.8,24.95604838709677,5.4,27.7
9,2022,1,99.8,77.4,50.0,24.380913978494625,8.3,27.4
16,2022,2,175.0,80.3,29.6,24.64985119047619,5.9,27.3
21,2022,3,163.2,79.2,36.2,25.253225806451614,6.4,28.1
18,2022,4,239.6,80.0,58.8,25.375416666666666,5.2,28.1
12,2022,5,102.0,76.5,44.6,25.881317204301077,6.7,29.2
17,2022,6,211.8,79.1,59.4,25.118055555555557,4.7,27.9
16,2022,7,145.2,76.8,27.8,25.43911290322581,6.2,28.6
15,2022,8,141.4,77.4,32.4,25.072311827956987,5.5,28.1
